                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.57982,                0.36347,                0.86939,                0.41803,                0.44265,                0.45586,                 0.3019,                 1.3401,                 1.7277,                 1.4467,             0.00014851,             0.00014851,             0.00014851
                     82,                0.55508,                0.35106,                0.86702,                0.44955,                0.42606,                0.45717,                0.29934,                 1.3526,                 1.7907,                 1.4455,             0.00014144,             0.00014144,             0.00014144
                     83,                0.54635,                0.35025,                0.86719,                0.66514,                0.41415,                0.46048,                0.30253,                 1.3169,                 1.7505,                 1.4035,             0.00013437,             0.00013437,             0.00013437
                     84,                0.56124,                0.35291,                 0.8494,                0.45792,                0.43413,                0.45764,                0.29872,                 1.3004,                 1.6968,                 1.4064,             0.00012731,             0.00012731,             0.00012731
                     85,                   0.54,                0.33452,                0.85919,                0.44362,                0.44321,                0.46582,                0.30685,                 1.2641,                 1.6886,                 1.3935,             0.00012024,             0.00012024,             0.00012024
                     86,                0.54626,                0.34185,                0.85759,                0.43067,                0.43373,                 0.4647,                0.30433,                 1.2882,                 1.7013,                 1.4064,             0.00011317,             0.00011317,             0.00011317
                     87,                0.51248,                0.32525,                0.85378,                0.44006,                0.43419,                0.46254,                0.30312,                 1.2896,                 1.7147,                 1.3946,              0.0001061,              0.0001061,              0.0001061
                     88,                0.51944,                0.32587,                0.85792,                0.66647,                0.43268,                0.46135,                0.30414,                 1.2999,                 1.7696,                 1.3988,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 0.5419,                0.32634,                0.85031,                0.67945,                0.42331,                 0.4531,                0.30208,                 1.2846,                 1.7645,                 1.3863,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.51996,                0.31996,                0.85446,                0.47479,                0.43593,                0.45312,                 0.3032,                 1.2875,                 1.7598,                 1.3898,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.53224,                0.31337,                0.83261,                0.49518,                0.42709,                0.45389,                 0.3053,                 1.2596,                 1.7186,                 1.3866,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.54021,                0.31179,                0.82845,                0.46766,                0.43663,                0.46198,                0.30787,                 1.2489,                 1.6994,                 1.3904,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.49928,                0.29268,                0.81984,                0.66419,                0.44991,                0.45731,                 0.3044,                 1.2593,                 1.6888,                 1.3915,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.48473,                  0.282,                0.81581,                0.67505,                0.44074,                0.46511,                0.30583,                 1.2414,                 1.6923,                 1.3817,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                  0.493,                0.28441,                0.82866,                0.65436,                0.44541,                0.46545,                0.30675,                 1.2498,                 1.7111,                  1.386,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.47643,                0.27767,                0.81773,                0.66507,                0.44942,                0.47287,                0.30904,                 1.2361,                  1.749,                 1.3777,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.48299,                0.27295,                0.82101,                  0.478,                0.46185,                0.47855,                0.31232,                 1.2409,                 1.7384,                 1.3818,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.47976,                0.27421,                 0.8186,                0.46982,                0.45426,                0.47777,                0.31329,                 1.2502,                 1.7327,                 1.3897,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.47471,                0.27202,                0.81772,                0.68317,                0.44958,                0.48331,                0.31523,                 1.2535,                 1.7503,                 1.3887,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.47289,                0.27407,                0.80812,                 0.6877,                0.44961,                  0.483,                0.31584,                 1.2538,                 1.7596,                 1.3891,             1.4209e-05,             1.4209e-05,             1.4209e-05
